slug;name;category;price_min_kgs;price_max_kgs;unit;time;geo_priority;tags;url
"podklyuchenie-posudomoechnoy-mashiny";"Подключение посудомоечной машины";"bytovaya-tehnika";"800";"1700";"шт";"40–90 минут";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-posudomoechnoy-mashiny/"
"podklyuchenie-boylera";"Подключение бойлера (водонагревателя)";"bytovaya-tehnika";"1000";"2300";"шт";"1–2 часа";"yes";"boyler|bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-boylera/"
"podklyuchenie-generatora";"Подключение генератора";"bytovaya-tehnika";"2900";"9200";"шт";"2–5 часов";"no";"dom-dacha|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/podklyuchenie-generatora/"
"zaryadnaya-stanciya-ev";"Зарядная станция для электромобиля";"bytovaya-tehnika";"9200";"28700";"шт";"3–8 часов";"no";"bytovaya-tehnika|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/zaryadnaya-stanciya-ev/"
"elektrika-dlya-kondicionera";"Электрика для кондиционера";"bytovaya-tehnika";"1150";"2870";"шт";"1–3 часа";"no";"bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/bytovaya-tehnika/elektrika-dlya-kondicionera/"
"teplyy-pol";"Тёплый электрический пол";"klimat-i-teplo";"1040";"2070";"м²";"1–2 дня";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/klimat-i-teplo/teplyy-pol/"
"elektricheskiy-kotel";"Подключение электрокотла";"klimat-i-teplo";"5750";"17300";"шт";"1–2 дня";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/klimat-i-teplo/elektricheskiy-kotel/"
"elektroobogrev";"Подключение электрообогревателей";"klimat-i-teplo";"920";"2070";"шт";"40–90 минут";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/klimat-i-teplo/elektroobogrev/"
"teplovaya-pushka";"Тепловая пушка / завеса";"klimat-i-teplo";"1040";"2530";"шт";"1–2 часа";"no";"biznes|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/klimat-i-teplo/teplovaya-pushka/"
"elektrik-ofis";"Электрик для офиса";"kommercheskie-obekty";"460";"1150";"точка";"по проекту";"no";"biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/elektrik-ofis/"
"elektrika-kafe-restoran";"Электрика кафе и ресторана";"kommercheskie-obekty";"690";"1730";"точка";"по проекту";"no";"biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/elektrika-kafe-restoran/"
"elektrika-gostinica-pansionat";"Электрика гостиницы и пансионата";"kommercheskie-obekty";"580";"1440";"точка";"сезонное ТО + проекты";"yes";"biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/elektrika-gostinica-pansionat/"
"elektrika-magazin";"Электрика магазина";"kommercheskie-obekty";"520";"1320";"точка";"по проекту";"no";"biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/elektrika-magazin/"
"podklyuchenie-380v";"Подключение 380В (трёхфазная сеть)";"kommercheskie-obekty";"5750";"17300";"объект";"1–3 дня";"no";"biznes|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/podklyuchenie-380v/"
"tehobsluzhivanie-elektroustanovok";"Техобслуживание электроустановок";"kommercheskie-obekty";"5750";"11500";"выезд";"регулярно";"no";"biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/tehobsluzhivanie-elektroustanovok/"
"promyshlennoe-osveshchenie";"Промышленное освещение";"kommercheskie-obekty";"920";"2880";"точка";"по проекту";"no";"biznes|osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/kommercheskie-obekty/promyshlennoe-osveshchenie/"
"ustanovka-lyustry";"Установка люстры";"osveshchenie";"700";"1700";"шт";"40–90 минут";"yes";"lyustry|osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/ustanovka-lyustry/"
"zamena-lyustry";"Замена люстры";"osveshchenie";"600";"1400";"шт";"30–70 минут";"no";"lyustry";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/zamena-lyustry/"
"remont-lyustry";"Ремонт люстры";"osveshchenie";"500";"1500";"шт";"30–90 минут";"no";"lyustry";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/remont-lyustry/"
"ustanovka-svetilnika";"Установка светильника";"osveshchenie";"450";"1000";"шт";"20–60 минут";"no";"osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/ustanovka-svetilnika/"
"ustanovka-tochechnyh-svetilnikov";"Установка точечных светильников";"osveshchenie";"500";"900";"точка";"15–30 мин/точка";"no";"osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/ustanovka-tochechnyh-svetilnikov/"
"trekovye-svetilniki";"Трековые светильники";"osveshchenie";"900";"2000";"метр системы";"1–3 часа";"no";"osveshchenie|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/trekovye-svetilniki/"
"led-podsvetka";"LED-подсветка";"osveshchenie";"700";"1800";"метр";"1–4 часа";"no";"osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/led-podsvetka/"
"ustanovka-prozhektora";"Установка прожектора";"osveshchenie";"900";"2300";"шт";"1–2 часа";"no";"osveshchenie|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/ustanovka-prozhektora/"
"ulichnoe-osveshchenie";"Уличное освещение участка";"osveshchenie";"1100";"2800";"точка";"1–3 часа/точка";"no";"osveshchenie|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/ulichnoe-osveshchenie/"
"zamena-lampochki";"Замена лампочки";"osveshchenie";"150";"450";"шт";"5–15 минут";"no";"osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/zamena-lampochki/"
"datchik-dvizheniya";"Датчик движения";"osveshchenie";"1000";"2300";"шт";"40–90 минут";"no";"osveshchenie|srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/datchik-dvizheniya/"
"fotorele";"Фотореле (свет включается сам)";"osveshchenie";"900";"1900";"шт";"40–80 минут";"no";"osveshchenie|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/osveshchenie/fotorele/"
"zamena-provodki-kvartire";"Замена проводки в квартире";"provodka";"25000";"80000";"объект";"2–7 дней";"no";"provodka|kvartira";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/zamena-provodki-kvartire/"
"zamena-provodki-dome";"Замена проводки в частном доме";"provodka";"52000";"138000";"объект";"3–10 дней";"yes";"provodka|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/zamena-provodki-dome/"
"montazh-provodki-s-nulya";"Монтаж проводки с нуля";"provodka";"30000";"90000";"объект";"3–8 дней";"no";"provodka|kvartira|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/montazh-provodki-s-nulya/"
"chastichnaya-zamena-provodki";"Частичная замена проводки";"provodka";"6000";"25000";"участок";"1–2 дня";"no";"provodka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/chastichnaya-zamena-provodki/"
"otkrytaya-provodka";"Открытая проводка";"provodka";"170";"350";"метр";"1 день (до 100 м)";"no";"provodka|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/otkrytaya-provodka/"
"retro-provodka";"Ретро-проводка";"provodka";"600";"1200";"метр";"2–4 дня";"no";"provodka|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/retro-provodka/"
"skrytaya-provodka";"Скрытая проводка";"provodka";"290";"570";"метр";"1–3 дня";"no";"provodka|kvartira";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/skrytaya-provodka/"
"shtroblenie-pod-provodku";"Штробление стен под проводку";"provodka";"230";"500";"м.п.";"от 1 дня";"no";"provodka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/shtroblenie-pod-provodku/"
"prokladka-kabelya";"Прокладка кабеля";"provodka";"200";"500";"метр";"от 1 дня";"no";"kabel|provodka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/prokladka-kabelya/"
"poisk-neispravnosti-provodki";"Поиск неисправностей проводки";"provodka";"900";"2300";"выезд";"1–3 часа";"no";"provodka|srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/poisk-neispravnosti-provodki/"
"elektrika-pod-kluch";"Электрика под ключ";"provodka";"35000";"150000";"объект";"5–14 дней";"no";"provodka|dom-dacha|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/provodka/elektrika-pod-kluch/"
"ustanovka-rozetki";"Установка розетки";"rozetki-vyklyuchateli";"350";"800";"точка";"30–60 минут";"no";"rozetki";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/ustanovka-rozetki/"
"zamena-rozetki";"Замена розетки";"rozetki-vyklyuchateli";"250";"600";"точка";"20–40 минут";"yes";"rozetki|kvartira";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/zamena-rozetki/"
"perenos-rozetki";"Перенос розетки";"rozetki-vyklyuchateli";"900";"2800";"точка";"1–2 часа";"no";"rozetki";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/perenos-rozetki/"
"dvoynaya-rozetka";"Двойная розетка";"rozetki-vyklyuchateli";"550";"1000";"точка";"40–70 минут";"no";"rozetki";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/dvoynaya-rozetka/"
"vlagozashchitnaya-rozetka";"Влагозащищённая розетка IP44";"rozetki-vyklyuchateli";"700";"1400";"точка";"40–80 минут";"no";"rozetki|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/vlagozashchitnaya-rozetka/"
"rozetka-dlya-elektroplity";"Розетка для электроплиты";"rozetki-vyklyuchateli";"800";"1700";"точка";"1–2 часа";"no";"rozetki|bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/rozetka-dlya-elektroplity/"
"rozetka-dlya-stiralnoy-mashiny";"Розетка для стиральной машины";"rozetki-vyklyuchateli";"600";"1300";"точка";"40–80 минут";"no";"rozetki|bytovaya-tehnika";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/rozetka-dlya-stiralnoy-mashiny/"
"ustanovka-vyklyuchatelya";"Установка выключателя";"rozetki-vyklyuchateli";"350";"750";"точка";"30–60 минут";"no";"vyklyuchateli";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/ustanovka-vyklyuchatelya/"
"zamena-vyklyuchatelya";"Замена выключателя";"rozetki-vyklyuchateli";"250";"650";"точка";"20–40 минут";"no";"vyklyuchateli";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/zamena-vyklyuchatelya/"
"perenos-vyklyuchatelya";"Перенос выключателя";"rozetki-vyklyuchateli";"900";"2400";"точка";"1–2 часа";"no";"vyklyuchateli";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/perenos-vyklyuchatelya/"
"dvuhklavishnyy-vyklyuchatel";"Двухклавишный выключатель";"rozetki-vyklyuchateli";"400";"900";"точка";"40–70 минут";"no";"vyklyuchateli|osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/dvuhklavishnyy-vyklyuchatel/"
"prohodnoy-vyklyuchatel";"Проходной выключатель";"rozetki-vyklyuchateli";"1400";"3400";"точка";"1,5–3 часа";"no";"vyklyuchateli";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/prohodnoy-vyklyuchatel/"
"dimmer";"Диммер (светорегулятор)";"rozetki-vyklyuchateli";"1200";"2800";"точка";"40–90 минут";"no";"vyklyuchateli|osveshchenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/rozetki-vyklyuchateli/dimmer/"
"sborka-elektroshchita";"Сборка электрощита";"shchity-avtomaty";"6000";"28000";"шт";"1–3 дня";"yes";"schity|avtomaty";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/sborka-elektroshchita/"
"zamena-avtomata";"Замена автомата защиты";"shchity-avtomaty";"450";"1000";"шт";"20–40 минут";"no";"avtomaty";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/zamena-avtomata/"
"ustanovka-uzo";"Установка УЗО";"shchity-avtomaty";"900";"1800";"шт";"40–90 минут";"no";"uzo|zazemlenie";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/ustanovka-uzo/"
"ustanovka-difavtomata";"Установка дифавтомата";"shchity-avtomaty";"1000";"2000";"шт";"40–90 минут";"no";"uzo|avtomaty";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/ustanovka-difavtomata/"
"zamena-elektroschetchika";"Замена электросчётчика";"shchity-avtomaty";"1400";"2800";"шт";"1–2 часа";"no";"schetchiki";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/zamena-elektroschetchika/"
"perenos-elektroshchita";"Перенос электрощита";"shchity-avtomaty";"3500";"9000";"шт";"3–6 часов";"no";"schity";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/perenos-elektroshchita/"
"remont-elektroshchita";"Ремонт электрощита";"shchity-avtomaty";"1700";"5500";"шт";"1–4 часа";"no";"schity|srochno-24-7";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/remont-elektroshchita/"
"shchit-dlya-doma";"Щит для частного дома";"shchity-avtomaty";"8000";"35000";"шт";"1–2 дня";"no";"schity|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/shchity-avtomaty/shchit-dlya-doma/"
"internet-rozetki-lan";"Интернет-розетки (LAN)";"slabotochnye-seti";"460";"1040";"точка";"30–60 минут";"no";"slabotochka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/slabotochnye-seti/internet-rozetki-lan/"
"videonablyudenie";"Видеонаблюдение";"slabotochnye-seti";"1730";"4020";"камера";"1–2 часа/камера";"no";"slabotochka|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/slabotochnye-seti/videonablyudenie/"
"domofon";"Домофон";"slabotochnye-seti";"1730";"4600";"шт";"1–3 часа";"no";"slabotochka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/slabotochnye-seti/domofon/"
"tv-rozetki-antenny";"ТВ-розетки и антенны";"slabotochnye-seti";"460";"920";"точка";"40–90 минут";"no";"slabotochka";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/slabotochnye-seti/tv-rozetki-antenny/"
"signalizaciya-elektrika";"Охранная сигнализация (электрика)";"slabotochnye-seti";"920";"2300";"шлейф";"2–5 часов";"no";"slabotochka|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/slabotochnye-seti/signalizaciya-elektrika/"
"vvod-elektrichestva-v-dom";"Ввод электричества в дом";"zagorodnye-seti";"4000";"13800";"объект";"1–2 дня";"no";"dom-dacha|kabel";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/vvod-elektrichestva-v-dom/"
"montazh-sip";"Монтаж провода СИП";"zagorodnye-seti";"290";"570";"метр";"от 1 дня";"no";"kabel|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/montazh-sip/"
"zazemlenie-doma";"Контур заземления дома";"zagorodnye-seti";"9200";"23000";"контур";"1 день";"no";"zazemlenie|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/zazemlenie-doma/"
"molniezashchita";"Молниезащита дома";"zagorodnye-seti";"13800";"40000";"система";"1–3 дня";"no";"zazemlenie|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/molniezashchita/"
"stabilizator-napryazheniya";"Установка стабилизатора напряжения";"zagorodnye-seti";"1700";"4600";"шт";"1–3 часа";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/stabilizator-napryazheniya/"
"rezervnoe-pitanie-avr";"Резервное питание с автозапуском (АВР)";"zagorodnye-seti";"17000";"46000";"комплект";"1–2 дня";"no";"dom-dacha|biznes";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/rezervnoe-pitanie-avr/"
"vremennoe-elektrosnabzhenie";"Временное электроснабжение стройки";"zagorodnye-seti";"3500";"10300";"объект";"1 день";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/vremennoe-elektrosnabzhenie/"
"podklyuchenie-solnechnyh-paneley";"Подключение солнечных панелей";"zagorodnye-seti";"11500";"34500";"система";"1–3 дня";"no";"dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/podklyuchenie-solnechnyh-paneley/"
"remont-vl-linii";"Ремонт воздушной линии (опора, провес)";"zagorodnye-seti";"2300";"9200";"выезд";"от 3 часов";"no";"kabel|dom-dacha";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/uslugi/zagorodnye-seti/remont-vl-linii/"
