slug;name;distance_km;travel_fee_kgs;zone;population;lat;lon;url
"kashat";"Кашат";"26";"400";"core";"600";"42.45";"76.64";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kashat/"
"grigorievskaya-pristan";"Григорьевская пристань";"28";"400";"core";"1300";"42.44";"76.6";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/grigorievskaya-pristan/"
"toru-aygyr";"Тору-Айгыр";"28";"400";"core";"1700";"42.43";"76.57";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/toru-aygyr/"
"kodzhoyar";"Коджояр";"29";"400";"core";"900";"42.42";"76.54";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kodzhoyar/"
"ananevo";"Ананьево";"33";"500";"mid";"5200";"42.38";"76.46";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/ananevo/"
"semeonovka";"Семёновка";"38";"500";"mid";"2800";"42.34";"76.36";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/semeonovka/"
"grigorievka";"Григорьевка";"42";"500";"mid";"4900";"42.31";"76.29";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/grigorievka/"
"barskoon";"Барскоон";"52";"600";"far";"2300";"42.39";"77.48";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/barskoon/"
"tepke";"Тепке";"55";"600";"far";"1200";"42.37";"77.56";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/tepke/"
"ichke-dzhergez";"Ичке-Джергез";"58";"600";"far";"1500";"42.35";"77.62";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/ichke-dzhergez/"
"ak-suu";"Ак-Суу (Теплоключенка)";"60";"600";"far";"10500";"42.33";"77.68";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/ak-suu/"
"zhergez";"Жергез";"63";"600";"far";"1900";"42.32";"77.73";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/zhergez/"
"kyzyl-suu";"Кызыл-Суу";"66";"800";"far";"4200";"42.33";"77.78";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/kyzyl-suu/"
"balykchy";"Балыкчы";"72";"800";"far";"48000";"42.46";"76.1667";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/balykchy/"
"karakol";"Каракол";"95";"1000";"extended";"90000";"42.49";"78.3936";"https://uslugi-electrica-cholpon-ata-issyk-kol.pages.dev/lokacii/karakol/"
